,Equity ,Sector,Qty ,"Value
 (Rs cr)",%,Unnamed: 5,company_name,company_code
0,Westlife Dev,Banking & Financial Services,"1,805,374.00",47.09,6.45,,sbi-small-midcap-fund,MSA012
1,Solar Ind,Chemicals,"470,000.00",42.2,5.78,,sbi-small-midcap-fund,MSA012
2,Orient Refract,Cement & Construction,"2,500,000.00",37.1,5.08,,sbi-small-midcap-fund,MSA012
3,Relaxo Footwear,Consumer Non-durables,"700,000.00",33.28,4.56,,sbi-small-midcap-fund,MSA012
4,Elgi Equipments,Engineering & Capital Goods,"1,400,000.00",33.1,4.54,,sbi-small-midcap-fund,MSA012
5,Atul,Chemicals,"150,000.00",32.98,4.52,,sbi-small-midcap-fund,MSA012
6,Kirloskar Ind,Engineering & Capital Goods,"770,000.00",31.08,4.26,,sbi-small-midcap-fund,MSA012
7,Graphite India,Engineering & Capital Goods,"1,500,000.00",30.89,4.23,,sbi-small-midcap-fund,MSA012
8,Greenply Ind,Miscellaneous,"1,100,000.00",29.43,4.03,,sbi-small-midcap-fund,MSA012
9,Hawkins Cooker,Consumer Durables,"95,619.00",28.49,3.9,,sbi-small-midcap-fund,MSA012
10,Gabriel India,Automotive,"1,500,000.00",23.96,3.28,,sbi-small-midcap-fund,MSA012
11,Sheela Foam,Miscellaneous,"170,000.00",22.77,3.12,,sbi-small-midcap-fund,MSA012
12,Thangamayil,Services,"700,000.00",22.59,3.1,,sbi-small-midcap-fund,MSA012
13,NESCO,Conglomerates,"90,000.00",22.15,3.04,,sbi-small-midcap-fund,MSA012
14,Power Mech,Engineering & Capital Goods,"370,000.00",21.7,2.97,,sbi-small-midcap-fund,MSA012
15,Ganesha Ecosph,Manufacturing,"606,690.00",21.26,2.91,,sbi-small-midcap-fund,MSA012
16,Fairchem Spec,Chemicals,"470,000.00",21.11,2.89,,sbi-small-midcap-fund,MSA012
17,Avanti Feeds,Miscellaneous,"110,000.00",17.99,2.47,,sbi-small-midcap-fund,MSA012
18,AU Small Financ,Banking & Financial Services,"290,000.00",17.13,2.35,,sbi-small-midcap-fund,MSA012
19,Rajratan Global,Automotive,"270,000.00",16.74,2.29,,sbi-small-midcap-fund,MSA012
20,Divis Labs,Pharmaceuticals,"247,552.00",16.66,2.28,,sbi-small-midcap-fund,MSA012
21,Gufic Bio,Pharmaceuticals,"2,170,000.00",15.79,2.16,,sbi-small-midcap-fund,MSA012
22,Himadri Special,Chemicals,"1,710,000.00",14.79,2.03,,sbi-small-midcap-fund,MSA012
23,UFO Moviez,Media & Entertainment,"390,000.00",14.68,2.01,,sbi-small-midcap-fund,MSA012
24,KCP,Cement & Construction,"1,364,800.00",14.12,1.94,,sbi-small-midcap-fund,MSA012
25,Allcargo,Services,"700,000.00",12.01,1.65,,sbi-small-midcap-fund,MSA012
26,Garware Wall,Manufacturing,"133,500.00",11.85,1.62,,sbi-small-midcap-fund,MSA012
27,Laurus Labs,Pharmaceuticals,"157,768.00",9.16,1.26,,sbi-small-midcap-fund,MSA012
28,TV TodayNetwork,Media & Entertainment,"365,440.00",8.82,1.21,,sbi-small-midcap-fund,MSA012
29,V2 Retail,Services,"300,000.00",7.45,1.02,,sbi-small-midcap-fund,MSA012
30,Hatsun Agro,Food & Beverages,"57,829.00",3.62,0.5,,sbi-small-midcap-fund,MSA012
